appid,currency,initial,final,discount_pct,is_free
238320,USD,1499,1499,0,0
244850,USD,1999,1999,0,0
268500,USD,1999,299,85,0
282070,USD,1999,1999,0,0
286690,USD,1999,1999,0,0
287700,USD,1999,1999,0,0
301520,USD,0,0,0,1
305620,USD,1999,1999,0,0
323190,USD,2999,2999,0,0
335300,USD,3999,3999,0,0
356190,USD,4999,4999,0,0
359320,USD,1999,499,75,0
361420,USD,2999,2999,0,0
362890,USD,1999,1999,0,0
386360,USD,0,0,0,1
387990,USD,1999,1999,0,0
391220,USD,2999,449,85,0
412020,USD,2999,2999,0,0
424840,USD,1999,1999,0,0
440900,USD,3999,3999,0,0
457140,USD,2499,2499,0,0
504230,USD,1999,1999,0,0
508440,USD,1999,1999,0,0
513710,USD,4499,4499,0,0
552500,USD,2999,2999,0,0
570940,USD,3999,3999,0,0
581320,USD,2999,2999,0,0
582160,USD,5999,5999,0,0
594570,USD,5999,1499,75,0
629760,USD,2999,2999,0,0
632470,USD,3999,3999,0,0
674940,USD,499,499,0,0
677620,USD,0,0,0,1
755790,USD,0,0,0,1
774171,USD,299,299,0,0
779340,USD,3999,1199,70,0
899770,USD,3499,3499,0,0
976310,USD,4999,4999,0,0
1057090,USD,2999,2999,0,0
1092790,USD,1999,1999,0,0
1142710,USD,5999,899,85,0
1151340,USD,3999,3999,0,0
1151640,USD,0,0,0,1
1158310,USD,4999,4999,0,0
1167630,USD,2999,2999,0,0
1196590,USD,3999,3999,0,0
1222680,USD,6999,6999,0,0
1259420,USD,3999,3999,0,0
1289310,USD,0,0,0,1
1313140,USD,2499,2499,0,0
1361210,USD,3999,3999,0,0
1446780,USD,3999,3999,0,0
1506830,USD,0,0,0,1
1604030,USD,3499,3499,0,0
1643320,USD,5999,4199,30,0
1677740,USD,0,0,0,1
1687950,USD,5999,5999,0,0
1771300,USD,5999,2399,60,0
1817070,USD,5999,5999,0,0
1818750,USD,0,0,0,1
1832640,USD,199,199,0,0
1868140,USD,1999,1999,0,0
1903340,USD,4999,4999,0,0
1943950,USD,999,999,0,0
2054970,USD,3999,3999,0,0
2195250,USD,0,0,0,1
2527500,USD,1499,1499,0,0
12120,USD,0,0,0,1
20900,USD,999,999,0,0
20920,USD,1999,1999,0,0
39210,USD,1999,1999,0,0
205100,USD,999,999,0,0
206420,USD,1999,299,85,0
206440,USD,999,999,0,0
211420,USD,0,0,0,1
212680,USD,999,999,0,0
214950,USD,5999,1199,80,0
223710,USD,0,0,0,1
233860,USD,2999,2999,0,0
234140,USD,1999,1999,0,0
235460,USD,2999,2999,0,0
240720,USD,799,799,0,0
241930,USD,1999,1999,0,0
254700,USD,1999,1999,0,0
291480,USD,0,0,0,1
295110,USD,0,0,0,1
304050,USD,0,0,0,1
311690,USD,1499,1499,0,0
331470,USD,0,0,0,1
